model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-0.008895480630414305,root_mean_squared_error,0.08093523979187012,33.99383902549744,0.0004894733428955078,0.015782594680786133,2,True,10
NeuralNetFastAI,-0.009017110013144758,root_mean_squared_error,0.06443405151367188,31.5179762840271,0.06443405151367188,31.5179762840271,1,True,8
CatBoost,-0.009859592386924151,root_mean_squared_error,0.0025167465209960938,1.0937480926513672,0.0025167465209960938,1.0937480926513672,1,True,6
XGBoost,-0.009942587643993094,root_mean_squared_error,0.01349496841430664,1.3663320541381836,0.01349496841430664,1.3663320541381836,1,True,9
LightGBMXT,-0.010589150288363514,root_mean_squared_error,0.005908966064453125,12.556728839874268,0.005908966064453125,12.556728839874268,1,True,3
LightGBM,-0.010871214632569846,root_mean_squared_error,0.007839202880859375,12.357849359512329,0.007839202880859375,12.357849359512329,1,True,4
ExtraTreesMSE,-0.011011791357913895,root_mean_squared_error,0.0391385555267334,0.49838829040527344,0.0391385555267334,0.49838829040527344,1,True,7
RandomForestMSE,-0.011225673271400484,root_mean_squared_error,0.05057668685913086,0.531158447265625,0.05057668685913086,0.531158447265625,1,True,5
KNeighborsUnif,-0.011597316571105807,root_mean_squared_error,0.015849828720092773,0.004293203353881836,0.015849828720092773,0.004293203353881836,1,True,1
KNeighborsDist,-0.01190099393456413,root_mean_squared_error,0.015519142150878906,0.004269838333129883,0.015519142150878906,0.004269838333129883,1,True,2
